"NAME","STREET","POST_CODE","CITY","LONGITUDE","LATITUDE","HUMIDITY_AVG","PRESSURE_AVG","TEMPERATURE_AVG","PM10_AVG","PM25_AVG","TIMESTAMP"
"SZKO?A PODSTAWOWA NR 2 IM. STANIS?AWA MARUSARZA W TOKARNI","","32-436","TOKARNIA","19.861399","49.742299","72.88333333333334","970.9250000000001","-1.8916666666666666","20.316666666666666","24.09166666666667","2023-04-05 00:00:00.0"
"NIEPUBLICZNA SZKO?A PODSTAWOWA MONTESSORI W WIELICZCE","UL. JASNA","32-020","WIELICZKA","20.04131557116481","49.98142573025661","54.099999999999994","992.4307692307692","-0.22307692307692306","7.769230769230769","6.9692307692307685","2023-04-05 00:00:00.0"
"TECHNIKUM IM. KAROLA WOJTY?Y W SU?KOWICACH","UL. SZKOLNA","32-440","SU?KOWICE","19.79959","49.83879","63.67999999999999","990.8","-0.13","19.4","19.04","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA NR 1 IM. ADAMA MICKIEWICZA W KRZESZOWICACH","UL. D?UGA","32-065","KRZESZOWICE","19.63231","50.14192","73.45","991.7083333333334","-1.45","25.883333333333336","22.541666666666668","2023-04-05 00:00:00.0"
"RZEMIE?LNICZA BRAN?OWA SZKO?A I STOPNIA W TARNOWIE","PL. DWORCOWY","33-100","TARN?W","20.97230288","50.00592873","59.84166666666667","998.7166666666667","1.3583333333333334","21.84166666666667","20.683333333333334","2023-04-05 00:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA NR4 IM. EUGENIUSZA KWIATKOWSKIEGO W STALOWEJ WOLI","UL. NIEZ?OMNYCH","37-450","STALOWA WOLA","22.049257","50.566117","75.80833333333334","1004.0083333333333","-0.7333333333333334","20.633333333333333","19.366666666666667","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. GENERA?A STANIS?AWA MACZKA W BLI?YNIE","UL. PIASKOWA","26-120","BLI?YN","20.7611656","51.10539138","81.18333333333334","992.1750000000001","-2.891666666666667","58.13333333333333","48.75833333333333","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W OKSIE","UL. PL. M. REJA","28-363","OKSA","20.10227008","50.72821359","77.88333333333334","994.0500000000001","-2.908333333333333","33.458333333333336","29.775000000000002","2023-04-05 00:00:00.0"
"III LICEUM OG?LNOKSZTA?C?CE W ZESPOLE SZK?? NR 1 W PSZCZYNIE ","UL. KAZIMIERZA WIELKIEGO","43-200","PSZCZYNA","18.945466","49.965741","59.28333333333333","993.25","-1.5666666666666667","144.51666666666668","93.50833333333333","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA W ?YSAKOWIE","","28-300","?YSAK?W DRUGI","20.31178517","50.59252463","91.75833333333333","991.3083333333334","-2.15","22.233333333333334","16.675","2023-04-05 00:00:00.0"
"SPO?ECZNA SZKO?A PODSTAWOWA NR 1 IM. KS.PROF. J?ZEFA TISCHNERA W TARNOWIE","UL. GUMNISKA","33-100","TARN?W","21.00131621","50.00814381","60.275","998.875","0.8166666666666668","20.333333333333332","18.724999999999998","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA IM. GEN. STANIS?AWA SKALSKIEGO W POLICHNIE","","26-060","POLICHNO","20.3964092","50.82155974","79.31666666666666","994.8916666666665","-3.1333333333333333","18.9","16.283333333333335","2023-04-05 00:00:00.0"
"TECHNIKUM W RACI??U","UL. KILI?SKIEGO","09-140","RACI??","20.127731","52.778712","73.53333333333333","1011.0333333333333","-2.1555555555555554","123.02222222222223","95.76666666666668","2023-04-05 00:00:00.0"
"PUBLICZNA SZKO?A PODSTAWOWA IM.HENRYKA SIENKIEWICZA W MY?LISZEWICACH","","26-630","MY?LISZEWICE","21.290531299999998","51.413341302261024","74.925","1003.3583333333332","-1.4749999999999999","36.05833333333333","31.900000000000002","2023-04-05 00:00:00.0"
"SZKO?A PODSTAWOWA NR 20 IM. POLSKICH HIMALAIST?W W ZABRZU","UL. JANA KASPROWICZA","41-800","ZABRZE","18.813383","50.318177","78.88333333333334","994.4333333333334","-3.3249999999999997","106.96666666666665","96.10833333333333","2023-04-05 00:00:00.0"
